Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-07 19:41:02;441;1385;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-07 19:46:02;441;1385;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-07 19:49:58;441;1385;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-07 20:50:07;441;1385;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-07 21:50:16;439;1379;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-07 22:50:24;442;1388;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-07 23:50:32;441;1385;98;Kein Fehler erkannt;1.44;0;0.00;;;;;;;;
2018-11-08 00:50:40;441;1385;98;Kein Fehler erkannt;1.15;0;0.00;;;;;;;;
2018-11-08 01:50:49;437;1372;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-08 02:50:57;452;1420;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-08 03:51:05;450;1413;94;Kein Fehler erkannt;6.03;0;0.30;;;;;;;;
2018-11-08 04:51:14;459;1441;93;Kein Fehler erkannt;6.35;0;0.89;;;;;;;;
2018-11-08 05:51:21;459;1441;98;Kein Fehler erkannt;1.49;0;0.89;;;;;;;;
2018-11-08 06:51:30;456;1432;99;Kein Fehler erkannt;0.85;0;0.89;;;;;;;;
2018-11-08 07:51:38;457;1435;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 08:51:46;459;1441;96;Kein Fehler erkannt;3.78;0;0.89;;;;;;;;
2018-11-08 09:51:56;460;1445;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 10:52:02;454;1426;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 11:52:11;450;1413;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 12:52:20;449;1410;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 13:52:27;449;1410;94;Kein Fehler erkannt;5.84;0;0.89;;;;;;;;
2018-11-08 14:52:36;449;1410;94;Kein Fehler erkannt;5.73;0;0.89;;;;;;;;
2018-11-08 15:52:45;452;1420;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 16:52:52;452;1420;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 17:53:01;439;1379;99;Kein Fehler erkannt;0.85;0;0.89;;;;;;;;
2018-11-08 18:53:08;439;1379;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 19:53:17;442;1388;98;Kein Fehler erkannt;1.56;0;0.89;;;;;;;;
2018-11-08 20:53:25;437;1372;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 21:53:33;432;1357;100;Kein Fehler erkannt;0.00;0;0.89;;;;;;;;
2018-11-08 22:53:42;430;1350;98;Kein Fehler erkannt;1.30;0;0.89;;;;;;;;
2018-11-08 23:53:50;430;1350;98;Kein Fehler erkannt;1.34;0;0.89;;;;;;;;
2018-11-09 00:53:58;430;1350;98;Kein Fehler erkannt;1.56;0;0.89;;;;;;;;
2018-11-09 01:54:06;434;1363;100;Kein Fehler erkannt;0.00;0;0.59;;;;;;;;
2018-11-09 02:54:15;434;1363;100;Kein Fehler erkannt;0.00;0;0.59;;;;;;;;
2018-11-09 03:54:23;434;1363;100;Kein Fehler erkannt;0.00;0;0.59;;;;;;;;
2018-11-09 04:54:31;434;1363;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-09 05:54:40;427;1341;98;Kein Fehler erkannt;1.57;0;0.00;;;;;;;;
2018-11-09 06:54:47;423;1328;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-09 07:54:56;425;1335;98;Kein Fehler erkannt;1.34;0;0.00;;;;;;;;
2018-11-09 08:55:04;424;1332;98;Kein Fehler erkannt;1.09;0;0.00;;;;;;;;
2018-11-09 09:55:12;419;1316;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-09 10:55:21;417;1310;98;Kein Fehler erkannt;1.57;0;0.00;;;;;;;;
2018-11-09 11:55:28;417;1310;98;Kein Fehler erkannt;1.57;0;0.30;;;;;;;;
2018-11-09 12:55:37;417;1310;98;Kein Fehler erkannt;1.57;0;0.30;;;;;;;;
2018-11-09 13:55:45;415;1303;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-09 14:55:53;415;1303;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-09 15:56:02;411;1291;94;Kein Fehler erkannt;5.58;0;0.30;;;;;;;;
2018-11-09 16:56:10;410;1288;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-09 17:56:18;410;1288;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-09 18:56:26;410;1288;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
2018-11-09 19:56:35;411;1291;94;Kein Fehler erkannt;5.64;0;0.30;;;;;;;;
2018-11-09 20:56:43;406;1275;100;Kein Fehler erkannt;0.00;0;0.30;;;;;;;;
