Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
181111_V310_1.csv;07.11.2018 19:46;441;1385;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;07.11.2018 19:49;441;1385;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;07.11.2018 20:50;441;1385;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;07.11.2018 21:50;439;1379;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;07.11.2018 22:50;442;1388;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;07.11.2018 23:50;441;1385;98;Kein Fehler erkannt;1,44;0;0;;;;;;;
181111_V310_1.csv;08.11.2018 00:50;441;1385;98;Kein Fehler erkannt;1,15;0;0;;;;;;;
181111_V310_1.csv;08.11.2018 01:50;437;1372;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;08.11.2018 02:50;452;1420;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181111_V310_1.csv;08.11.2018 03:51;450;1413;94;Kein Fehler erkannt;6,03;0;0,3;;;;;;;
181111_V310_1.csv;08.11.2018 04:51;459;1441;93;Kein Fehler erkannt;6,35;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 05:51;459;1441;98;Kein Fehler erkannt;1,49;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 06:51;456;1432;99;Kein Fehler erkannt;0,85;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 07:51;457;1435;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 08:51;459;1441;96;Kein Fehler erkannt;3,78;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 09:51;460;1445;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 10:52;454;1426;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 11:52;450;1413;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 12:52;449;1410;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 13:52;449;1410;94;Kein Fehler erkannt;5,84;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 14:52;449;1410;94;Kein Fehler erkannt;5,73;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 15:52;452;1420;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 16:52;452;1420;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 17:53;439;1379;99;Kein Fehler erkannt;0,85;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 18:53;439;1379;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 19:53;442;1388;98;Kein Fehler erkannt;1,56;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 20:53;437;1372;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 21:53;432;1357;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 22:53;430;1350;98;Kein Fehler erkannt;1,3;0;0,89;;;;;;;
181111_V310_1.csv;08.11.2018 23:53;430;1350;98;Kein Fehler erkannt;1,34;0;0,89;;;;;;;
181111_V310_1.csv;09.11.2018 00:53;430;1350;98;Kein Fehler erkannt;1,56;0;0,89;;;;;;;
181111_V310_1.csv;09.11.2018 01:54;434;1363;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181111_V310_1.csv;09.11.2018 02:54;434;1363;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181111_V310_1.csv;09.11.2018 03:54;434;1363;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181111_V310_1.csv;09.11.2018 04:54;434;1363;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;09.11.2018 05:54;427;1341;98;Kein Fehler erkannt;1,57;0;0;;;;;;;
181111_V310_1.csv;09.11.2018 06:54;423;1328;100;Kein Fehler erkannt;0;0;0;;;;;;;
181111_V310_1.csv;09.11.2018 07:54;425;1335;98;Kein Fehler erkannt;1,34;0;0;;;;;;;
181111_V310_1.csv;09.11.2018 08:55;424;1332;98;Kein Fehler erkannt;1,09;0;0;;;;;;;
181111_V310_1.csv;09.11.2018 09:55;419;1316;100;Kein Fehler erkannt;0;0;0;;;;;;;
