Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-08-30 19:23:07;231;725;100;Kein Fehler erkannt;0.00;630;;;;;;;;;
2018-08-30 19:29:49;231;725;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-30 20:29:50;228;716;98;Kein Fehler erkannt;1.56;630;nan;;;;;;;;;
2018-08-30 21:30:04;228;716;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-30 22:30:13;227;713;98;Kein Fehler erkannt;1.34;630;nan;;;;;;;;;
2018-08-30 23:30:20;226;710;99;Kein Fehler erkannt;0.44;630;nan;;;;;;;;;
2018-08-31 00:30:29;226;710;98;Kein Fehler erkannt;1.52;630;nan;;;;;;;;;
2018-08-31 01:30:36;226;710;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 02:30:45;226;710;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 03:30:53;225;706;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 04:31:00;218;684;98;Kein Fehler erkannt;1.44;630;nan;;;;;;;;;
2018-08-31 05:31:09;218;684;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 06:31:16;217;681;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 07:31:25;216;678;98;Kein Fehler erkannt;1.15;630;nan;;;;;;;;;
2018-08-31 08:31:33;216;678;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 09:31:41;216;678;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 10:31:49;216;678;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 11:31:56;215;675;98;Kein Fehler erkannt;1.47;630;nan;;;;;;;;;
2018-08-31 12:32:05;215;675;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 13:32:13;221;694;99;Kein Fehler erkannt;0.44;630;nan;;;;;;;;;
2018-08-31 14:32:21;220;691;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 15:32:29;220;691;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 16:32:37;219;688;98;Kein Fehler erkannt;1.26;630;nan;;;;;;;;;
2018-08-31 17:32:45;209;656;98;Kein Fehler erkannt;1.49;630;nan;;;;;;;;;
2018-08-31 18:32:53;207;650;98;Kein Fehler erkannt;1.72;630;nan;;;;;;;;;
2018-08-31 19:33:01;204;640;99;Kein Fehler erkannt;1.02;630;nan;;;;;;;;;
2018-08-31 20:33:09;204;640;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 21:33:17;202;634;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-08-31 22:33:25;201;631;98;Kein Fehler erkannt;1.38;630;nan;;;;;;;;;
2018-08-31 23:33:33;201;631;99;Kein Fehler erkannt;0.75;630;nan;;;;;;;;;
2018-09-01 00:33:41;200;628;99;Kein Fehler erkannt;0.44;630;nan;;;;;;;;;
2018-09-01 01:33:50;200;628;99;Kein Fehler erkannt;0.85;630;nan;;;;;;;;;
2018-09-01 02:33:57;200;628;100;Kein Fehler erkannt;0.00;630;nan;;;;;;;;;
2018-09-01 03:34:06;199;625;99;Kein Fehler erkannt;0.75;630;nan;;;;;;;;;
2018-09-01 03:36:48;199;625;98;Kein Fehler erkannt;1.09;650;nan;;;;;;;;;
2018-09-01 03:39:30;198;622;99;Kein Fehler erkannt;0.75;670;nan;;;;;;;;;
2018-09-01 03:42:12;199;625;100;Kein Fehler erkannt;0.00;690;nan;;;;;;;;;
2018-09-01 03:44:54;199;625;100;Kein Fehler erkannt;0.00;710;nan;;;;;;;;;
2018-09-01 03:47:36;199;625;100;Kein Fehler erkannt;0.00;730;nan;;;;;;;;;
2018-09-01 03:50:18;199;625;100;Kein Fehler erkannt;0.00;750;nan;;;;;;;;;
2018-09-01 03:53:00;198;622;98;Kein Fehler erkannt;1.15;770;nan;;;;;;;;;
2018-09-01 03:55:42;199;625;100;Kein Fehler erkannt;0.00;790;nan;;;;;;;;;
2018-09-01 03:58:24;199;625;100;Kein Fehler erkannt;0.00;810;nan;;;;;;;;;
2018-09-01 04:01:06;198;622;99;Kein Fehler erkannt;0.75;830;nan;;;;;;;;;
2018-09-01 04:03:48;198;622;96;Kein Fehler erkannt;3.78;850;nan;;;;;;;;;
2018-09-01 04:06:30;198;622;99;Kein Fehler erkannt;0.75;870;nan;;;;;;;;;
2018-09-01 04:09:12;199;625;100;Kein Fehler erkannt;0.00;890;nan;;;;;;;;;
2018-09-01 04:11:54;198;622;98;Kein Fehler erkannt;1.54;910;nan;;;;;;;;;
2018-09-01 04:14:36;198;622;98;Kein Fehler erkannt;1.21;930;nan;;;;;;;;;
2018-09-01 04:17:18;199;625;100;Kein Fehler erkannt;0.00;950;nan;;;;;;;;;
2018-09-01 04:20:00;199;625;100;Kein Fehler erkannt;0.00;970;nan;;;;;;;;;
2018-09-01 04:22:42;197;618;95;Kein Fehler erkannt;4.83;990;nan;;;;;;;;;
2018-09-01 04:25:24;198;622;100;Kein Fehler erkannt;0.00;1010;nan;;;;;;;;;
2018-09-01 04:28:06;197;618;100;Kein Fehler erkannt;0.00;1030;nan;;;;;;;;;
2018-09-01 04:30:48;197;618;100;Kein Fehler erkannt;0.00;1050;nan;;;;;;;;;
2018-09-01 04:33:37;197;618;100;Kein Fehler erkannt;0.00;1070;nan;;;;;;;;;
2018-09-01 04:36:19;197;618;100;Kein Fehler erkannt;0.00;1090;nan;;;;;;;;;
2018-09-01 04:39:01;196;615;99;Kein Fehler erkannt;0.85;1110;nan;;;;;;;;;
2018-09-01 04:41:43;196;615;99;Kein Fehler erkannt;0.44;1130;nan;;;;;;;;;
2018-09-01 04:44:25;197;618;100;Kein Fehler erkannt;0.00;1150;nan;;;;;;;;;
2018-09-01 04:47:07;196;615;99;Kein Fehler erkannt;1.02;1170;nan;;;;;;;;;
2018-09-01 04:49:49;197;618;100;Kein Fehler erkannt;0.00;1190;nan;;;;;;;;;
2018-09-01 04:52:31;196;615;98;Kein Fehler erkannt;1.38;1210;nan;;;;;;;;;
2018-09-01 04:55:14;196;615;99;Kein Fehler erkannt;0.62;1230;nan;;;;;;;;;
2018-09-01 04:57:56;196;615;98;Kein Fehler erkannt;1.26;1250;nan;;;;;;;;;
2018-09-01 05:00:38;196;615;98;Kein Fehler erkannt;1.44;1270;nan;;;;;;;;;
2018-09-01 05:03:20;196;615;98;Kein Fehler erkannt;1.54;1290;nan;;;;;;;;;
2018-09-01 05:06:02;196;615;98;Kein Fehler erkannt;1.51;1310;nan;;;;;;;;;
2018-09-01 05:08:44;196;615;98;Kein Fehler erkannt;1.34;1330;nan;;;;;;;;;
2018-09-01 05:11:26;196;615;98;Kein Fehler erkannt;1.51;1350;nan;;;;;;;;;
2018-09-01 05:14:08;196;615;98;Kein Fehler erkannt;1.56;1370;nan;;;;;;;;;
2018-09-01 05:16:50;196;615;98;Kein Fehler erkannt;1.52;1390;nan;;;;;;;;;
2018-09-01 05:19:32;194;609;98;Kein Fehler erkannt;1.52;1410;nan;;;;;;;;;
2018-09-01 05:22:14;194;609;98;Kein Fehler erkannt;1.51;1430;nan;;;;;;;;;
2018-09-01 05:24:56;194;609;98;Kein Fehler erkannt;1.47;1450;nan;;;;;;;;;
2018-09-01 05:27:38;194;609;98;Kein Fehler erkannt;1.44;1470;nan;;;;;;;;;
2018-09-01 05:30:20;190;596;97;Kein Fehler erkannt;2.71;1490;nan;;;;;;;;;
2018-09-01 05:33:09;185;581;97;Kein Fehler erkannt;3.11;1510;nan;;;;;;;;;
2018-09-01 05:35:51;181;568;98;Kein Fehler erkannt;1.26;1530;nan;;;;;;;;;
2018-09-01 05:38:33;181;568;98;Kein Fehler erkannt;1.54;1550;nan;;;;;;;;;
2018-09-01 05:41:15;181;568;98;Kein Fehler erkannt;1.44;1570;nan;;;;;;;;;
2018-09-01 05:43:57;181;568;98;Kein Fehler erkannt;1.51;1590;nan;;;;;;;;;
2018-09-01 05:46:39;181;568;100;Kein Fehler erkannt;0.00;1610;nan;;;;;;;;;
2018-09-01 05:49:21;181;568;100;Kein Fehler erkannt;0.00;1630;nan;;;;;;;;;
2018-09-01 05:52:03;180;565;98;Kein Fehler erkannt;1.87;1650;nan;;;;;;;;;
2018-09-01 05:54:45;180;565;98;Kein Fehler erkannt;1.53;1670;nan;;;;;;;;;
2018-09-01 05:57:27;180;565;99;Kein Fehler erkannt;0.75;1690;nan;;;;;;;;;
2018-09-01 06:00:09;181;568;100;Kein Fehler erkannt;0.00;1710;nan;;;;;;;;;
2018-09-01 06:02:51;180;565;99;Kein Fehler erkannt;0.85;1730;nan;;;;;;;;;
2018-09-01 06:05:33;181;568;100;Kein Fehler erkannt;0.00;1750;nan;;;;;;;;;
2018-09-01 06:08:15;180;565;99;Kein Fehler erkannt;0.62;1770;nan;;;;;;;;;
2018-09-01 06:10:57;181;568;100;Kein Fehler erkannt;0.00;1790;nan;;;;;;;;;
2018-09-01 06:13:39;181;568;100;Kein Fehler erkannt;0.00;1810;nan;;;;;;;;;
2018-09-01 06:16:21;181;568;100;Kein Fehler erkannt;0.00;1830;nan;;;;;;;;;
2018-09-01 06:19:03;181;568;100;Kein Fehler erkannt;0.00;1850;nan;;;;;;;;;
2018-09-01 06:21:45;180;565;99;Kein Fehler erkannt;0.85;1870;nan;;;;;;;;;
2018-09-01 06:24:28;181;568;100;Kein Fehler erkannt;0.00;1890;nan;;;;;;;;;
2018-09-01 06:27:10;181;568;100;Kein Fehler erkannt;0.00;1910;nan;;;;;;;;;
2018-09-01 06:29:52;181;568;100;Kein Fehler erkannt;0.00;1930;nan;;;;;;;;;
2018-09-01 06:32:34;180;565;98;Kein Fehler erkannt;1.09;1950;nan;;;;;;;;;
2018-09-01 06:34:30;180;565;99;Kein Fehler erkannt;0.75;1970;nan;;;;;;;;;
2018-09-01 06:37:12;180;565;99;Kein Fehler erkannt;0.44;1990;nan;;;;;;;;;
2018-09-01 06:39:54;180;565;99;Kein Fehler erkannt;1.02;2010;nan;;;;;;;;;
2018-09-01 06:42:36;181;568;100;Kein Fehler erkannt;0.00;2030;nan;;;;;;;;;
2018-09-01 06:45:18;180;565;99;Kein Fehler erkannt;0.85;2050;nan;;;;;;;;;
2018-09-01 06:48:00;180;565;99;Kein Fehler erkannt;0.62;2070;nan;;;;;;;;;
2018-09-01 06:50:42;181;568;100;Kein Fehler erkannt;0.00;2090;nan;;;;;;;;;
2018-09-01 06:53:24;180;565;98;Kein Fehler erkannt;1.26;2110;nan;;;;;;;;;
2018-09-01 06:56:07;180;565;99;Kein Fehler erkannt;0.75;2130;nan;;;;;;;;;
2018-09-01 06:58:49;180;565;99;Kein Fehler erkannt;0.85;2150;nan;;;;;;;;;
2018-09-01 07:01:31;180;565;98;Kein Fehler erkannt;1.38;2170;nan;;;;;;;;;
2018-09-01 07:04:13;181;568;100;Kein Fehler erkannt;0.00;2190;nan;;;;;;;;;
2018-09-01 07:06:55;180;565;98;Kein Fehler erkannt;1.49;2210;nan;;;;;;;;;
2018-09-01 07:09:37;180;565;98;Kein Fehler erkannt;1.54;2230;nan;;;;;;;;;
2018-09-01 07:12:19;180;565;98;Kein Fehler erkannt;1.55;2250;nan;;;;;;;;;
2018-09-01 07:15:01;180;565;98;Kein Fehler erkannt;1.49;2270;nan;;;;;;;;;
2018-09-01 07:17:43;180;565;98;Kein Fehler erkannt;1.55;2290;nan;;;;;;;;;
2018-09-01 07:20:25;180;565;98;Kein Fehler erkannt;1.57;2310;nan;;;;;;;;;
2018-09-01 07:23:07;180;565;98;Kein Fehler erkannt;1.54;2330;nan;;;;;;;;;
2018-09-01 07:25:49;180;565;98;Kein Fehler erkannt;1.57;2350;nan;;;;;;;;;
2018-09-01 07:28:31;179;562;98;Kein Fehler erkannt;1.09;2370;nan;;;;;;;;;
2018-09-01 07:31:13;176;552;100;Kein Fehler erkannt;0.00;2390;nan;;;;;;;;;
2018-09-01 07:34:02;174;546;98;Kein Fehler erkannt;1.30;2410;nan;;;;;;;;;
2018-09-01 07:36:44;174;546;98;Kein Fehler erkannt;1.57;2430;nan;;;;;;;;;
2018-09-01 07:39:26;174;546;98;Kein Fehler erkannt;1.55;2450;nan;;;;;;;;;
2018-09-01 07:42:08;174;546;98;Kein Fehler erkannt;1.47;2470;nan;;;;;;;;;
2018-09-01 07:44:50;173;543;98;Kein Fehler erkannt;1.87;2490;nan;;;;;;;;;
2018-09-01 07:47:32;169;530;98;Kein Fehler erkannt;1.55;2510;nan;;;;;;;;;
2018-09-01 07:50:14;169;530;100;Kein Fehler erkannt;0.00;2530;nan;;;;;;;;;
2018-09-01 07:52:56;169;530;99;Kein Fehler erkannt;0.85;2550;nan;;;;;;;;;
2018-09-01 07:55:38;169;530;96;Kein Fehler erkannt;3.20;2570;nan;;;;;;;;;
2018-09-01 07:58:20;169;530;100;Kein Fehler erkannt;0.00;2590;nan;;;;;;;;;
2018-09-01 08:01:02;167;524;98;Kein Fehler erkannt;1.47;2610;nan;;;;;;;;;
2018-09-01 08:03:44;167;524;100;Kein Fehler erkannt;0.00;2630;nan;;;;;;;;;
2018-09-01 08:06:26;167;524;100;Kein Fehler erkannt;0.00;2650;nan;;;;;;;;;
2018-09-01 08:09:08;167;524;100;Kein Fehler erkannt;0.00;2670;nan;;;;;;;;;
2018-09-01 08:11:50;167;524;100;Kein Fehler erkannt;0.00;2690;nan;;;;;;;;;
2018-09-01 08:14:32;167;524;100;Kein Fehler erkannt;0.00;2710;nan;;;;;;;;;
2018-09-01 08:17:14;167;524;100;Kein Fehler erkannt;0.00;2730;nan;;;;;;;;;
2018-09-01 08:19:56;167;524;100;Kein Fehler erkannt;0.00;2750;nan;;;;;;;;;
2018-09-01 08:22:38;165;518;94;Kein Fehler erkannt;5.52;2770;nan;;;;;;;;;
2018-09-01 08:25:20;181;568;87;Kein Fehler erkannt;12.71;2790;nan;;;;;;;;;
2018-09-01 08:28:02;196;615;90;Kein Fehler erkannt;10.27;2810;nan;;;;;;;;;
2018-09-01 08:30:44;215;675;90;Kein Fehler erkannt;10.36;2830;nan;;;;;;;;;
2018-09-01 08:34:46;243;763;89;Kein Fehler erkannt;10.72;2830;nan;;;;;;;;;
2018-09-01 10:49:52;0;0;1;Kein Fehler erkannt;0.00;2830;nan;;;;;;;;;
2018-09-01 10:52:14;0;0;1;Kein Fehler erkannt;0.00;2830;nan;;;;;;;;;
2018-09-01 10:58:15;620;1947;98;Kein Fehler erkannt;1.57;2830;nan;;;;;;;;;
2018-09-01 11:01:06;616;1935;99;Kein Fehler erkannt;0.62;2850;nan;;;;;;;;;
2018-09-01 11:03:24;617;1938;99;Kein Fehler erkannt;0.94;2870;nan;;;;;;;;;
2018-09-01 11:05:12;617;1938;99;Kein Fehler erkannt;1.02;2890;nan;;;;;;;;;
2018-09-01 11:56:18;616;1935;100;Kein Fehler erkannt;0.00;2910;nan;;;;;;;;;
2018-09-01 11:59:45;616;1935;100;Kein Fehler erkannt;0.00;2910;0.30;;;;;;;;;
2018-09-01 12:20:13;616;1935;100;Kein Fehler erkannt;0.00;2930;0.00;;;;;;;;;
