Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-22 21:35:08;198;622;100;Kein Fehler erkannt;0.00;0;0.00;;;;;;;;
2018-11-22 21:37:51;204;640;98;Kein Fehler erkannt;1.56;20;0.00;;;;;;;;
2018-11-22 22:35:17;204;640;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-22 23:35:26;204;640;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-23 00:35:33;204;640;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;80;79;
2018-11-23 01:35:42;204;640;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-23 02:35:49;203;637;98;Kein Fehler erkannt;1.55;20;0.00;;;;;;;;
2018-11-23 03:35:58;203;637;99;Kein Fehler erkannt;1.02;20;0.00;;;;;;;;
2018-11-23 04:36:07;203;637;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-23 05:36:14;198;622;100;Kein Fehler erkannt;0.00;20;0.00;;;;;;;;
2018-11-23 05:38:56;204;640;98;Kein Fehler erkannt;1.73;40;0.00;;;;;;;;
2018-11-23 06:36:23;201;631;99;Kein Fehler erkannt;0.62;40;0.00;;;;;;;;
2018-11-23 07:36:30;198;622;100;Kein Fehler erkannt;0.00;40;0.00;;;;;;;;
2018-11-23 07:39:12;204;640;98;Kein Fehler erkannt;1.57;60;0.00;;;;;;;;
2018-11-23 08:36:39;202;634;100;Kein Fehler erkannt;0.00;60;0.00;;;;;;;;
2018-11-23 09:36:48;200;628;99;Kein Fehler erkannt;0.44;60;0.00;;;;;;;;
2018-11-23 10:36:55;200;628;100;Kein Fehler erkannt;0.00;60;0.00;;;;;;;;
2018-11-23 11:37:04;200;628;100;Kein Fehler erkannt;0.00;60;0.00;;;;;;;;
2018-11-23 12:37:11;198;622;100;Kein Fehler erkannt;0.00;60;0.00;;;;;;;;
2018-11-23 12:39:53;205;644;98;Kein Fehler erkannt;1.69;80;0.00;;;;;;;;
2018-11-23 13:37:20;202;634;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 14:37:28;202;634;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 15:37:36;202;634;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 16:37:45;202;634;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 17:37:52;200;628;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 18:38:01;200;628;100;Kein Fehler erkannt;0.00;80;0.00;;;;;;;;
2018-11-23 19:38:09;199;625;99;Kein Fehler erkannt;0.94;80;0.00;;;;;;;;
2018-11-23 19:40:51;205;644;95;Kein Fehler erkannt;4.84;100;0.00;;;;;;;;
2018-11-23 20:38:17;205;644;98;Kein Fehler erkannt;1.56;100;0.00;;;;;;;;
2018-11-23 21:38:26;204;640;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-23 22:38:33;202;634;100;Kein Fehler erkannt;0.00;100;0.00;;;;;;;;
2018-11-23 23:38:42;201;631;98;Kein Fehler erkannt;1.47;100;0.00;;;;;;;;
2018-11-24 00:38:50;200;628;99;Kein Fehler erkannt;0.85;100;0.00;;;;;;92;80;
2018-11-24 01:38:58;225;706;98;Kein Fehler erkannt;1.54;100;0.89;;;;;;;;
2018-11-24 02:39:07;241;757;100;Kein Fehler erkannt;0.00;100;1.18;;;;;;;;
2018-11-24 03:39:14;242;760;100;Kein Fehler erkannt;0.00;100;1.48;;;;;;;;
2018-11-24 04:39:23;248;779;98;Kein Fehler erkannt;1.47;100;1.48;;;;;;;;
2018-11-24 05:39:30;248;779;98;Kein Fehler erkannt;1.49;100;1.48;;;;;;;;
2018-11-24 06:39:39;245;769;99;Kein Fehler erkannt;0.85;100;1.77;;;;;;;;
2018-11-24 07:39:48;242;760;99;Kein Fehler erkannt;0.75;100;1.77;;;;;;;;
2018-11-24 08:39:55;240;753;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 09:40:04;240;753;99;Kein Fehler erkannt;1.02;100;1.77;;;;;;;;
2018-11-24 10:40:11;239;750;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 11:40:20;239;750;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 12:40:28;238;747;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 13:40:36;234;735;98;Kein Fehler erkannt;1.30;100;1.77;;;;;;;;
2018-11-24 14:40:45;229;719;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 15:40:52;229;719;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 16:41:01;227;713;98;Kein Fehler erkannt;1.09;100;1.77;;;;;;;;
2018-11-24 17:41:01;226;710;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 18:41:17;224;703;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 19:41:26;222;697;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-24 20:41:33;220;691;99;Kein Fehler erkannt;0.44;100;1.77;;;;;;;;
2018-11-24 21:41:42;220;691;98;Kein Fehler erkannt;1.34;100;1.77;;;;;;;;
2018-11-24 22:41:50;217;681;99;Kein Fehler erkannt;0.62;100;1.77;;;;;;;;
2018-11-24 23:41:58;217;681;100;Kein Fehler erkannt;0.00;100;1.77;;;;;;;;
2018-11-25 00:42:07;217;681;99;Kein Fehler erkannt;0.85;100;1.77;;;;;;;;
2018-11-25 01:42:15;217;681;99;Kein Fehler erkannt;0.75;100;0.59;;;;;;;;
2018-11-25 02:42:23;217;681;100;Kein Fehler erkannt;0.00;100;0.59;;;;;;;;
2018-11-25 03:42:31;215;675;97;Kein Fehler erkannt;2.59;100;0.30;;;;;;;;
2018-11-25 04:42:39;214;672;98;Kein Fehler erkannt;1.49;100;0.30;;;;;;;;
2018-11-25 05:42:48;213;669;100;Kein Fehler erkannt;0.00;100;0.30;;;;;;;;
