Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
180819_V10_1.csv;18.08.2018 13:50;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:51;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:52;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:53;442;1388;98;;1,21;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:54;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:55;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:56;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:57;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:57;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:58;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 13:59;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:00;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:01;441;1385;98;;1,09;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:02;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:02;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:03;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:04;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:05;442;1388;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:06;441;1385;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:07;441;1385;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:07;441;1385;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:08;441;1385;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:09;436;1369;95;;4,19;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:10;434;1363;98;;1,26;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:11;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:12;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:12;434;1363;99;;0,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:13;434;1363;99;;0,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:14;434;1363;99;;0,62;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:15;434;1363;99;;0,75;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:16;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:17;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:18;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:18;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:19;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:20;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:21;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:22;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:23;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:23;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:24;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:25;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:26;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:27;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:28;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:28;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:29;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:30;434;1363;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 14:31;434;1363;100;;0;40;;;;;;;;
