Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-12-03 21:18:06;1473;4627;100;Kein Fehler erkannt;0.00;180;25.37;0;113;244;53;Verstopft;;;
2018-12-03 22:18:15;1492;4687;98;Kein Fehler erkannt;1.30;180;25.96;;;;;;;;
2018-12-03 23:18:22;1510;4743;98;Kein Fehler erkannt;1.55;180;25.96;;;;;;;;
2018-12-04 00:18:31;1528;4800;100;Kein Fehler erkannt;0.00;180;26.26;;;;;;;;
2018-12-04 01:18:39;1530;4806;95;Kein Fehler erkannt;5.18;180;26.26;;;;;;;;
2018-12-04 02:18:47;1541;4841;98;Kein Fehler erkannt;1.54;180;26.26;;;;;;;;
2018-12-04 03:18:56;1546;4856;100;Kein Fehler erkannt;0.00;180;26.26;;;;;;;;
2018-12-04 04:19:04;1576;4951;100;Kein Fehler erkannt;0.00;180;26.26;;;;;;;;
2018-12-04 05:19:12;1617;5079;100;Kein Fehler erkannt;0.00;180;27.44;0;128;97;0;OK;;;
2018-12-04 06:19:20;1631;5123;100;Kein Fehler erkannt;0.00;180;28.03;;;;;;;;
2018-12-04 07:19:28;1635;5136;99;Kein Fehler erkannt;0.85;180;28.32;;;;;;;;
2018-12-04 08:19:37;1646;5171;98;Kein Fehler erkannt;1.57;180;28.03;;;;;;;;
2018-12-04 09:19:45;1645;5167;96;Kein Fehler erkannt;3.74;180;27.44;;;;;;;;
2018-12-04 10:19:53;1640;5152;98;Kein Fehler erkannt;1.49;180;25.08;;;;;;;;
2018-12-04 11:20:01;1639;5149;98;Kein Fehler erkannt;1.38;180;23.90;;;;;;;;
2018-12-04 12:20:10;1639;5149;100;Kein Fehler erkannt;0.00;180;23.60;;;;;;;;
2018-12-04 13:20:17;1639;5149;100;Kein Fehler erkannt;0.00;180;21.54;;;;;;;;
2018-12-04 14:20:26;1639;5149;100;Kein Fehler erkannt;0.00;180;20.95;;;;;;;;
2018-12-04 15:20:35;1642;5158;98;Kein Fehler erkannt;1.44;180;20.36;;;;;;;;
2018-12-04 16:20:43;1642;5158;98;Kein Fehler erkannt;1.49;180;18.59;;;;;;;;
2018-12-04 17:20:51;1642;5158;98;Kein Fehler erkannt;1.57;180;17.11;;;;;;;;
2018-12-04 18:20:59;1642;5158;98;Kein Fehler erkannt;1.26;180;12.98;;;;;;;;
2018-12-04 19:21:07;1642;5158;100;Kein Fehler erkannt;0.00;180;8.26;;;;;;;;
2018-12-04 20:21:16;1636;5139;99;Kein Fehler erkannt;0.85;180;5.01;;;;;;;;
2018-12-04 21:21:24;1636;5139;98;Kein Fehler erkannt;1.30;180;4.72;;;;;;;;
2018-12-04 22:21:32;1635;5136;100;Kein Fehler erkannt;0.00;180;4.13;;;;;;;;
2018-12-04 23:21:40;1635;5136;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-05 00:21:49;1635;5136;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-05 01:21:57;1635;5136;100;Kein Fehler erkannt;0.00;180;3.25;;;;;;;;
2018-12-05 02:22:05;1635;5136;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-05 03:22:13;1635;5136;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-05 04:22:22;1635;5136;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-05 05:22:30;1635;5136;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-05 06:22:38;1630;5120;98;Kein Fehler erkannt;1.49;180;0.30;;;;;;;;
2018-12-05 07:22:47;1632;5127;93;Kein Fehler erkannt;6.41;180;0.00;;;;;;;;
2018-12-05 08:22:54;1627;5111;98;Kein Fehler erkannt;1.51;180;0.00;;;;;;;;
2018-12-05 09:23:03;1627;5111;98;Kein Fehler erkannt;1.56;180;0.00;;;;;;;;
2018-12-05 10:23:12;1627;5111;98;Kein Fehler erkannt;1.56;180;0.00;;;;;;;;
2018-12-05 11:23:19;1627;5111;98;Kein Fehler erkannt;1.21;180;0.30;;;;;;;;
2018-12-05 12:23:28;1628;5114;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-05 13:23:35;1627;5111;99;Kein Fehler erkannt;0.85;180;0.30;;;;;;;;
2018-12-05 14:23:44;1627;5111;98;Kein Fehler erkannt;1.41;180;0.30;;;;;;;;
2018-12-05 15:23:53;1627;5111;98;Kein Fehler erkannt;1.15;180;0.30;;;;;;;;
2018-12-05 16:24:00;1627;5111;98;Kein Fehler erkannt;1.57;180;0.30;;;;;;;;
2018-12-05 17:24:09;1626;5108;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-05 18:24:17;1626;5108;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-05 19:24:25;1626;5108;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-05 20:24:33;1626;5108;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-05 21:24:42;1625;5105;98;Kein Fehler erkannt;1.41;180;0.30;;;;;;;;
2018-12-05 22:24:51;1624;5101;98;Kein Fehler erkannt;1.54;180;0.30;;;;;;;;
2018-12-05 23:24:58;1624;5101;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-06 00:25:07;1627;5111;98;Kein Fehler erkannt;1.47;180;0.30;;;;;;25;70;
2018-12-06 01:25:15;1673;5255;100;Kein Fehler erkannt;0.00;180;1.77;0;144;127;0;OK;;;
2018-12-06 02:25:23;1676;5265;94;Kein Fehler erkannt;5.25;180;1.77;;;;;;;;
2018-12-06 03:25:31;1686;5296;94;Kein Fehler erkannt;6.01;180;2.07;;;;;;;;
2018-12-06 04:25:40;1696;5328;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 05:25:48;1700;5340;93;Kein Fehler erkannt;6.85;180;2.36;;;;;;;;
2018-12-06 06:25:56;1698;5334;98;Kein Fehler erkannt;1.26;180;2.36;;;;;;;;
2018-12-06 07:26:04;1692;5315;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 08:26:12;1697;5331;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 09:26:21;1697;5331;98;Kein Fehler erkannt;1.55;180;2.36;;;;;;;;
2018-12-06 10:26:29;1697;5331;98;Kein Fehler erkannt;1.41;180;2.36;;;;;;;;
2018-12-06 11:26:37;1698;5334;100;Kein Fehler erkannt;0.00;180;2.07;;;;;;;;
2018-12-06 12:26:46;1702;5347;98;Kein Fehler erkannt;1.57;180;2.36;;;;;;;;
2018-12-06 13:26:53;1699;5337;99;Kein Fehler erkannt;0.44;180;2.36;;;;;;;;
2018-12-06 14:27:02;1699;5337;99;Kein Fehler erkannt;0.44;180;2.36;;;;;;;;
2018-12-06 15:27:11;1699;5337;99;Kein Fehler erkannt;0.62;180;2.36;;;;;;;;
2018-12-06 16:27:18;1699;5337;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 17:27:27;1703;5350;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 18:27:35;1701;5343;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-06 19:27:43;1696;5328;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-06 20:27:52;1696;5328;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-06 21:28:00;1694;5321;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-06 22:28:08;1694;5321;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-06 23:28:16;1694;5321;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-07 00:28:25;1694;5321;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-07 01:28:33;1694;5321;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-07 02:28:41;1694;5321;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-07 03:28:50;1694;5321;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-07 04:28:57;1696;5328;94;Kein Fehler erkannt;6.05;180;0.59;;;;;;;;
2018-12-07 05:29:06;1692;5315;98;Kein Fehler erkannt;1.38;180;0.59;;;;;;;;
2018-12-07 06:29:14;1690;5309;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-07 07:29:22;1690;5309;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-07 08:29:31;1692;5315;98;Kein Fehler erkannt;1.34;180;0.59;;;;;;;;
2018-12-07 09:29:38;1688;5303;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-07 10:29:47;1688;5303;100;Kein Fehler erkannt;0.00;180;0.59;;;;;;;;
2018-12-07 11:29:55;1688;5303;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-07 12:30:03;1687;5299;98;Kein Fehler erkannt;1.44;180;0.30;;;;;;;;
2018-12-07 13:30:12;1687;5299;98;Kein Fehler erkannt;1.55;180;0.30;;;;;;;;
2018-12-07 14:30:20;1686;5296;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-07 15:30:28;1685;5293;99;Kein Fehler erkannt;0.85;180;0.30;;;;;;;;
2018-12-07 16:30:36;1686;5296;94;Kein Fehler erkannt;5.60;180;0.30;;;;;;;;
2018-12-07 17:30:45;1683;5287;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-07 18:30:53;1681;5281;98;Kein Fehler erkannt;1.57;180;0.30;;;;;;;;
2018-12-07 19:31:01;1682;5284;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-07 20:31:10;1709;5368;100;Kein Fehler erkannt;0.00;180;1.18;0;84;97;13;OK;;;
2018-12-07 21:31:17;1712;5378;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-07 22:31:26;1716;5390;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-07 23:31:35;1715;5387;99;Kein Fehler erkannt;0.94;180;1.48;;;;;;;;
2018-12-08 00:31:42;1715;5387;98;Kein Fehler erkannt;1.56;180;1.48;;;;;;;;
2018-12-08 01:31:51;1715;5387;98;Kein Fehler erkannt;1.38;180;1.48;;;;;;;;
2018-12-08 02:31:59;1716;5390;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-08 03:32:07;1715;5387;99;Kein Fehler erkannt;0.44;180;1.48;;;;;;;;
