Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-12-09 18:36:17;1799;5651;100;Kein Fehler erkannt;0.00;180;5.61;;;;;;;;
2018-12-09 19:36:24;1792;5629;94;Kein Fehler erkannt;6.00;180;5.61;;;;;;;;
2018-12-09 20:36:33;1791;5626;95;Kein Fehler erkannt;5.14;180;5.61;;;;;;;;
2018-12-09 21:36:40;1793;5632;100;Kein Fehler erkannt;0.00;180;5.61;;;;;;;;
2018-12-09 22:36:49;1797;5645;98;Kein Fehler erkannt;1.15;180;5.61;;;;;;;;
2018-12-09 23:36:58;1797;5645;98;Kein Fehler erkannt;1.26;180;5.31;;;;;;;;
2018-12-10 00:37:05;1797;5645;98;Kein Fehler erkannt;1.41;180;4.72;;;;;;;;
2018-12-10 01:37:14;1815;5702;100;Kein Fehler erkannt;0.00;180;5.01;;;;;;;;
2018-12-10 02:37:22;1826;5736;100;Kein Fehler erkannt;0.00;180;5.61;;;;;;;;
2018-12-10 03:37:30;1817;5708;98;Kein Fehler erkannt;1.55;180;5.01;;;;;;;;
2018-12-10 04:37:39;1818;5711;98;Kein Fehler erkannt;1.15;180;5.31;;;;;;;;
2018-12-10 05:37:47;1815;5702;100;Kein Fehler erkannt;0.00;180;5.31;;;;;;;;
2018-12-10 06:37:55;1811;5689;98;Kein Fehler erkannt;1.56;180;4.72;;;;;;;;
2018-12-10 07:38:03;1808;5680;100;Kein Fehler erkannt;0.00;180;4.72;;;;;;;;
2018-12-10 08:38:12;1804;5667;95;Kein Fehler erkannt;5.18;180;4.72;;;;;;;;
2018-12-10 09:38:19;1804;5667;98;Kein Fehler erkannt;1.21;180;4.13;;;;;;;;
2018-12-10 10:38:28;1804;5667;98;Kein Fehler erkannt;1.34;180;3.84;;;;;;;;
2018-12-10 11:38:37;1804;5667;100;Kein Fehler erkannt;0.00;180;3.84;;;;;;;;
2018-12-10 12:38:44;1803;5664;98;Kein Fehler erkannt;1.09;180;3.84;;;;;;;;
2018-12-10 13:38:53;1803;5664;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-10 14:39:01;1803;5664;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-10 15:39:09;1802;5661;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-10 16:39:18;1802;5661;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-10 17:39:25;1802;5661;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-10 18:39:34;1814;5698;98;Kein Fehler erkannt;1.47;180;2.07;;;;;;;;
2018-12-10 19:39:42;1819;5714;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-10 20:39:50;1818;5711;99;Kein Fehler erkannt;1.02;180;2.95;;;;;;;;
2018-12-10 21:39:59;1815;5702;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-10 22:40:07;1815;5702;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-10 23:40:15;1815;5702;100;Kein Fehler erkannt;0.00;180;2.65;;;;;;;;
2018-12-11 00:40:23;1815;5702;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-11 01:40:32;1815;5702;100;Kein Fehler erkannt;0.00;180;2.07;;;;;;;;
2018-12-11 02:40:40;1815;5702;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-11 03:40:48;1815;5702;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-11 04:40:56;1815;5702;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 05:41:04;1812;5692;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 06:41:13;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 07:41:21;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 08:41:29;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 09:41:38;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 10:41:45;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 11:41:54;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 12:42:03;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 13:42:10;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 14:42:19;1809;5683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-11 15:42:26;1819;5714;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-11 16:42:35;1818;5711;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
